timestamp,active_power,setpoint
2026-07-01 00:00:00,-32946,-30715
2026-07-01 00:30:00,-24123,-21266
2026-07-01 01:00:00,-28027,-24690
2026-07-01 01:30:00,-22824,-19728
2026-07-01 02:00:00,-25394,-22712
2026-07-01 02:30:00,-22485,-19183
2026-07-01 03:00:00,-22120,-16612
2026-07-01 03:30:00,-19015,-14865
2026-07-01 04:00:00,-12109,-9927
2026-07-01 04:30:00,-15510,-10176
2026-07-01 05:00:00,-734,3317
2026-07-01 05:30:00,825,2793
2026-07-01 06:00:00,61,2740
2026-07-01 06:30:00,5202,8673
2026-07-01 07:00:00,9879,10383
2026-07-01 07:30:00,13077,15618
2026-07-01 08:00:00,13812,16171
2026-07-01 08:30:00,16232,15854
2026-07-01 09:00:00,16699,16053
2026-07-01 09:30:00,20765,20730
2026-07-01 10:00:00,20659,18717
2026-07-01 10:30:00,23418,22729
2026-07-01 11:00:00,24953,24124
2026-07-01 11:30:00,20966,20656
2026-07-01 12:00:00,21565,18115
2026-07-01 12:30:00,22605,19226
2026-07-01 13:00:00,20665,16517
2026-07-01 13:30:00,24014,20618
2026-07-01 14:00:00,21840,17345
2026-07-01 14:30:00,17375,13964
2026-07-01 15:00:00,18608,15221
2026-07-01 15:30:00,15105,10176
2026-07-01 16:00:00,14404,10765
2026-07-01 16:30:00,9670,7292
2026-07-01 17:00:00,6473,1749
2026-07-01 17:30:00,8199,3452
2026-07-01 18:00:00,-798,-2357
2026-07-01 18:30:00,-9403,-12137
2026-07-01 19:00:00,-1617,-3508
2026-07-01 19:30:00,-7568,-8378
2026-07-01 20:00:00,-6678,-8122
2026-07-01 20:30:00,-18345,-18300
2026-07-01 21:00:00,-21156,-20189
2026-07-01 21:30:00,-24540,-23924
2026-07-01 22:00:00,-25424,-23230
2026-07-01 22:30:00,-22233,-21465
2026-07-01 23:00:00,-23413,-20358
2026-07-01 23:30:00,-24642,-21221
2026-07-02 00:00:00,-28829,-27249
2026-07-02 00:30:00,-26312,-24123
2026-07-02 01:00:00,-28470,-24887
2026-07-02 01:30:00,-26079,-22845
2026-07-02 02:00:00,-24663,-21592
2026-07-02 02:30:00,-18583,-14735
2026-07-02 03:00:00,-20572,-17353
2026-07-02 03:30:00,-15631,-10900
2026-07-02 04:00:00,-15836,-10596
2026-07-02 04:30:00,-15763,-12212
2026-07-02 05:00:00,-6178,-4146
2026-07-02 05:30:00,-1822,1713
2026-07-02 06:00:00,3167,6103
2026-07-02 06:30:00,7576,10431
2026-07-02 07:00:00,5714,7950
2026-07-02 07:30:00,7427,8414
2026-07-02 08:00:00,16087,17777
2026-07-02 08:30:00,13411,15677
2026-07-02 09:00:00,20254,21324
2026-07-02 09:30:00,18636,19370
2026-07-02 10:00:00,21143,18986
2026-07-02 10:30:00,25382,22972
2026-07-02 11:00:00,25216,22388
2026-07-02 11:30:00,22865,21603
2026-07-02 12:00:00,27984,25215
2026-07-02 12:30:00,26709,23781
2026-07-02 13:00:00,31370,27653
2026-07-02 13:30:00,21556,19739
2026-07-02 14:00:00,22112,17518
2026-07-02 14:30:00,16809,13682
2026-07-02 15:00:00,18282,14619
2026-07-02 15:30:00,16605,13586
2026-07-02 16:00:00,10024,7973
2026-07-02 16:30:00,11146,6522
2026-07-02 17:00:00,5231,3361
2026-07-02 17:30:00,8086,4813
2026-07-02 18:00:00,1672,-60
2026-07-02 18:30:00,2449,455
2026-07-02 19:00:00,-5685,-7261
2026-07-02 19:30:00,-7527,-8359
2026-07-02 20:00:00,-6366,-8695
2026-07-02 20:30:00,-20215,-20071
2026-07-02 21:00:00,-18166,-18269
2026-07-02 21:30:00,-23195,-21589
2026-07-02 22:00:00,-20348,-18344
2026-07-02 22:30:00,-25715,-23484
2026-07-02 23:00:00,-28660,-25939
